,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,Generation
Console,Logo,Manufacturer,Image,Release dates,Launch prices,Launch prices,Launch prices,Launch prices,Launch prices,Current prices,Current prices,Current prices,Current prices,Current prices,Discontinued,Sales,Sales,Sales,Sales,Media,Media,Media,Media,CPU,CPU,CPU,CPU,CPU,CPU,CPU,CPU,CPU,GPU,GPU,GPU,GPU,GPU,GPU,GPU,GPU,GPU,GPU,Memory,Memory,Memory,Memory,Memory,Storage,Storage,Storage,Network,Network,Dimensions,Weight,Power,Included accessories,Video,Video,Video,Video,Audio,Peripheral abilities,Controller,Touch capability,Camera,Online services,Online services,Online services,Game DVR,Game DVR,Game DVR,Game DVR,List of games,System software,System software,8
Console,Logo.1,Manufacturer,Image,Release dates,US$,€,GBP,A$,JP¥,US$,€,GBP,A$,JP¥,Discontinued,Shipped,Sold,Best-selling game,Best-selling game,Game media,Other,Regional lockout,Backward compatibility,Type,ISA,Clock speed,L1 cache,L2 cache,L3 cache,L3 cache,Process,Secondary,Type,Clock speed,Stream processors,TFLOP/s,TMUs,Texture rate,ROPs,Pixel rate,Compute units,Process,Main,Clock speed,Bandwidth,Reserved,Secondary,Internal,External,Game Installation,Wireless,Wired,Dimensions,Weight,Power,Included accessories,Output,Integrated 3DTV support,Second screen,Remote,Audio,Peripheral abilities,Controller,Touch capability,Camera,Network,Downloads,Subscription,Image,Video,Live streaming,Live streaming,List of games,OS,Updates,8
Wii U,Unnamed: 2_level_1,Nintendo,,"NA: November 18, 2012EU: November 30, 2012AU: November 30, 2012JP: December 8, 2012",US$299.99 (equivalent to $420 in 2025)[a],Set by retailers,Set by retailers,A$348.00 (equivalent to $440 in 2022),"¥26,250 (equivalent to ¥30,120 in 2024)",Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,"January 31, 2017[76]","13.56 million (as of December 31, 2018)[80]",Not reported,"Mario Kart 8, 8.46 million (as of March 31, 2022)[85]",List of best-selling Wii U video games,Wii U Optical Disc (25 GB) (5x CAV)[89],Wii Optical Disc (4.7/8.5 GB) (6x CAV),Region locked[93],Wii[c],Tri-Core IBM PowerPC Espresso[102],PowerPC,1.24 GHz,192 kB[h],3 MB eDRAM @ 1.24 GHz (CPU) (159.1 GB/s)[j],32 MB eDRAM @ 550 MHz (70.4 GB/s)[m][109],3 MB eSRAM[o],45 nm,ARM9 processor (for background tasks),"AMD Radeon-based ""Latte""[115][116]",550 MHz[116],320[51][116],0.352[116],16[116],8.8 GTexel/s[116],8[116],4.4 GPixel/s[126][116],5[116],40 nm[116],2 GB DDR3 SDRAM[128],800 MHz (1600 MHz effective),12.8 GB/s,1 GB[130],—N/a,8 GB/32 GB eMMC flash memory (non-replaceable) 1 GB flash memory (reserved for the OS),Supports up to 32 GB SDHC cards Supports up to 2 TB USB HDD (Wii U Mode only)[136],Only downloaded games can be installed to storage,802.11 a/b/g/n Wi-Fi @ 2.4 GHz 802.11n Wi-Fi @ 5.0 GHz[r],Fast Ethernet[s],When lying down on its side: Width: 172 mm (6.7 in) Height: 46 mm (1.8 in) Length: 268.5 mm (10.5 in) (can be oriented vertically using a stand),1.5 kg (3.3 lb),75 W (external power supply)[148],All Models Wii U GamePad Stylus Wii Sensor Bar HDMI cable Deluxe/Premium Model only Wii U GamePad stand Wii U GamePad charging cradle Wii U console stand,"1080p, 1080i, 720p, 480p HDMI out 1.4b Component video YPBPR (D-Terminal out Japan only) 576i, 480i (standard 4:3 and 16:9 anamorphic widescreen) Composite video S-Video (NTSC consoles only) RGB SCART (PAL consoles only) D-Terminal (Japanese consoles only)",Yes,Wii U GamePad (bundled with console),Local game streaming via Off-TV Play to Wii U GamePad for some games,"5.1 LPCM output via HDMI Analog stereo via ""AV Multi Out"" port Stereo speakers on Wii U GamePad Stereo output via 3.5mm jack on Wii U GamePad","Bluetooth 4.0 HDMI (1 out port) ""AV Multi Out"" port 4 USB 2.0 ports (2 at front of console, 2 at rear) Sensor Bar power port Near Field Communication (NFC)","Wii U GamePad Wii U Pro Controller (up to 7) Wii Remote/Plus (up to 7) Nunchuk attachment Classic Controller attachment Wii Balance Board Nintendo 3DS (select games only) Nintendo GameCube controller (adapter required, only supports Super Smash Bros. for Wii U)[160]",Wii U GamePad includes an integrated resistive touchscreen,Wii U GamePad camera (bundled with all consoles),Nintendo Network Nintendo eShop Miiverse (discontinued) Nintendo TVii (discontinued),Downloads games and automatic updates in the background via SpotPass,Free,"Screenshots with Miiverse integration (can be shared to Facebook, Twitter, Google Plus and Tumblr)",Gameplay replays with YouTube integration (select games only),—N/a,Free,List of Wii U games,Wii U system software,Updates are downloaded and installed automatically in Standby Mode,8
Nintendo Switch,Unnamed: 3_level_1,Nintendo,,"WW: March 3, 2017[65]",US$299.99 (equivalent to $390 in 2025)[65],€320 (equivalent to €400 in 2023),£279.99 (equivalent to £370 in 2023)[65],A$469.95 (equivalent to $540 in 2022)[65],"¥29,980 (equivalent to ¥33,140 in 2024)[65]",US$339.99[75],Same as launch prices,Same as launch prices,Same as launch prices,Same as launch prices,In production,"153.10 million (all models)[b] (as of June 30, 2025)[81]",Not reported,"Mario Kart 8 Deluxe, 48.41 million (as of September 30, 2022)[86]",List of best-selling Nintendo Switch video games,Nintendo Switch game card (1-32 GB)[90],—N/a,Unrestricted,Partial[d],"Quad-core ARM Cortex-A57, quad-core ARM Cortex-A53[g][103]",ARMv8-A,1.02 GHz,576 kB[i],2.5 MB[k],—N/a,—N/a,20 nm[p],—N/a,Nvidia GM20B Maxwell-based[117][118],307.2-768 MHz[q][120],256[118],0.157-0.393[q][120],16[118],4.9-12.3 GTexel/s,16[118],4.9-12.3 GPixel/s,2[118],20 nm[118],4 GB LPDDR4 SDRAM[129],1600 MHz (3200 MHz effective),25.6 GB/s,1 GB,—N/a,32 GB eMMC NAND flash memory (non-replaceable)[117],Supports microSD/microSDHC/microSDXC up to 2 TB[137],Downloaded games can be installed to internal memory or SD card,802.11 a/b/g/n/ac Wi-Fi @ 2.4 and 5.0 GHz[137],Fast Ethernet[t],Console laying flat: Width: 102 mm (4.0 in) Height: 13.9 mm (0.55 in) Length: 203.1 mm (8.00 in) (Console only) 239 mm (9.4 in) (Joy-Con attached) (must be oriented vertically),0.297 kg (0.65 lb) (Console only) 0.398 kg (0.88 lb) (Joy-Con attached),"4,310 mAh, 3.7 V lithium-ion battery Max. 39 W (external power supply)",Two Joy-Con controllers (L and R) Two Joy-Con straps Joy-Con Grip Switch Dock HDMI cable,"720p (undocked)[137] Via 6.2-inch, 1280 × 720p LCD screen @ 237 ppi 1080p, 720p and 480p (docked) HDMI out 1.4b",No,—N/a,—N/a,5.1 LPCM output via HDMI Stereo speakers on Console Stereo output via 3.5mm jack on Console[137],Bluetooth 4.1 HDMI (1 out port on dock) 1 USB 3.0 port (on dock) 2 USB 2.0 ports (on dock) 1 USB-C port (on Console) Near Field Communication (NFC),"Joy-Con controller (up to 8) Nintendo Switch Pro Controller (up to 8)[161] Nintendo GameCube controller (since version 4.0, adapter required)",Console includes multi-touch capacitive touchscreen[137],—N/a,Nintendo Switch Online Nintendo eShop,Downloads automatic updates in the background,"Paid Nintendo Switch Online subscription required for online multiplayer, except for free-to-play titles[165]",Screenshots with Facebook and Twitter integration[169],Up to 30 seconds of gameplay with Facebook and Twitter integration[170][171],—N/a,Free,List of Nintendo Switch games,Nintendo Switch system software,Automatic updates can be enabled by turning on Automatic Software Updates in System Settings[175],8
Nintendo Switch – OLED Model,Unnamed: 4_level_1,Nintendo,,"WW: October 8, 2021",US$349.99 (equivalent to $420 in 2025),€349 (equivalent to €420 in 2023),£309.99 (equivalent to £370 in 2023),A$540.00 (equivalent to $580 in 2022),"¥52,500 (equivalent to ¥57,090 in 2024)",US$399.99[75],Same as launch prices,Same as launch prices,Same as launch prices,Same as launch prices,In production,"153.10 million (all models)[b] (as of June 30, 2025)[81]",Not reported,"Mario Kart 8 Deluxe, 48.41 million (as of September 30, 2022)[86]",List of best-selling Nintendo Switch video games,Nintendo Switch game card (1-32 GB)[90],—N/a,Unrestricted,Partial[d],"Quad-core ARM Cortex-A57, quad-core ARM Cortex-A53[g][103]",ARMv8-A,1.02 GHz,576 kB[i],2.5 MB[k],—N/a,—N/a,16 nm,—N/a,Nvidia GM20B Maxwell-based[117][118],800 MHz,256[118],0.157-0.393[q][120],16[118],4.9-12.3 GTexel/s,16[118],4.9-12.3 GPixel/s,2[118],20 nm[118],4 GB LPDDR4 SDRAM[129],1700 MHz (6800 MHz effective),25.6 GB/s,1 GB,—N/a,64 GB eMMC NAND flash memory (non-replaceable),Supports microSD/microSDHC/microSDXC up to 2 TB[137],Downloaded games can be installed to internal memory or SD card,802.11 a/b/g/n/ac Wi-Fi @ 2.4 and 5.0 GHz[137],Gigabit Ethernet,Console laying flat: Width: 102 mm (4.0 in) Height: 13.9 mm (0.55 in) Length: 203.1 mm (8.00 in) (Console only) 239 mm (9.4 in) (Joy-Con attached) (must be oriented vertically),0.319 kg (0.70 lb) (Console only) 0.420 kg (0.93 lb) (Joy-Con attached),"4,310 mAh, 3.7 V lithium-ion battery Max. 39 W (external power supply)",Two Joy-Con controllers (L and R) Two Joy-Con straps Joy-Con Grip Switch Dock HDMI cable,"720p (undocked) Via 7-inch, 1280 × 720p OLED screen @ 210 ppi 1080p, 720p and 480p (docked) HDMI out 2.0a",No,—N/a,—N/a,5.1 LPCM output via HDMI Stereo speakers on Console Stereo output via 3.5mm jack on Console[137],Bluetooth 4.1 HDMI (1 out port on dock) 1 LAN port (on dock) 2 USB 2.0 ports (on dock) 1 USB-C port (on Console) Near Field Communication (NFC)[137],"Joy-Con controller (up to 8) Nintendo Switch Pro Controller (up to 8)[161] Nintendo GameCube controller (since version 4.0, adapter required)",Console includes multi-touch capacitive touchscreen[137],—N/a,Nintendo Switch Online Nintendo eShop,Downloads automatic updates in the background,"Paid Nintendo Switch Online subscription required for online multiplayer, except for free-to-play titles[165]",Screenshots with Facebook and Twitter integration[169],Up to 30 seconds of gameplay with Facebook and Twitter integration[170][171],—N/a,Free,List of Nintendo Switch games,Nintendo Switch system software,Automatic updates can be enabled by turning on Automatic Software Updates in System Settings[175],8
PlayStation 4,Unnamed: 5_level_1,Sony Interactive,,"PlayStation 4 NA: November 15, 2013EU: November 29, 2013AU: November 29, 2013JP: February 22, 2014 PlayStation 4 Slim WW: September 15, 2016[66]",PlayStation 4 US$399.99 (equivalent to $550 in 2025)[71] PlayStation 4 Slim US$299.00 (equivalent to $400 in 2025),PlayStation 4 €399.00 (equivalent to €490 in 2023)[71] PlayStation 4 Slim €299.99 (equivalent to €370 in 2023)[72],PlayStation 4 £349.00 (equivalent to £510 in 2023)[71],PlayStation 4 A$549.00 (equivalent to $680 in 2022)[71],"PlayStation 4 ¥41,979 (equivalent to ¥47,740 in 2024)",Same as launch prices,Same as launch prices,Same as launch prices,Same as launch prices,Same as launch prices,In production,"117.2 million (as of March 31, 2022)[82]",">113.5 million (as of September 30, 2020)[84]","God of War (2018), 19.50 million (as of February 3, 2022)[87]",List of best-selling PlayStation 4 video games,Blu-ray (25/50 GB) (6x CAV)[91],"Blu-ray, DVD",Almost fully[94] Only DLC is region locked[95],Partial[e],Octa-core AMD Jaguar-based[g][104],x86-64,1.60 GHz,512 kB[h],4 MB[l][107],—N/a,—N/a,PlayStation 4 28 nm PlayStation 4 Slim 16 nm,ARM processor (for background tasks)[114],"AMD Radeon-based ""Liverpool""",800 MHz,1152,1.843,72,57.6 GTexel/s,32,25.6 GPixel/s[127],18,PlayStation 4 28 nm PlayStation 4 Slim 16 nm,8 GB GDDR5 SDRAM[108],1375 MHz (5500 MHz effective),176.0 GB/s,3.5 GB[131],256 MB DDR3 RAM[114],500 GB HDD or 1 TB HDD (user replaceable)[133][134],Supports USB HDD over 240 GB up to 8 TB (with System Software 4.50 or higher)[138],All games must be installed to a connected HDD[141],PlayStation 4 802.11b/g/n Wi-Fi @ 2.4 GHz[142] PlayStation 4 Slim 802.11b/g/n/ac Wi-Fi @ 2.4 GHz,Gigabit Ethernet,PlayStation 4 When lying down on its side: Width: 275 mm (10.8 in) Height: 53 mm (2.0 in) Length: 305 mm (12.0 in) (can be oriented vertically using a stand) PlayStation 4 Slim When lying down on its side: Width: 265 mm (10.4 in) Height: 39 mm (1.5 in) Length: 288 mm (11.3 in) (can be oriented vertically using a stand),PlayStation 4 2.8 kg (6.2 lb) PlayStation 4 Slim 2.1 kg (4.6 lb),PlayStation 4 Max. 223 W (internal power supply) PlayStation 4 Slim Max. 163 W (internal power supply),DualShock 4 controller Micro-USB cable (for charging DualShock 4) Wired mono headset HDMI cable,"1080p, 1080i, 720p, and 480p HDR10 HDMI out 1.4b",Yes,PlayStation Vita PlayStation App on iOS and Android devices,"Local and remote game streaming via Remote Play to PS Vita, macOS and Windows, or selected Sony Xperia smartphone[153] for all games, except those that require the PS Camera or PS Move[154][155]",7.1 LPCM and bitstreaming output via HDMI 5.1 LPCM and bitstreaming output via optical out Stereo output via 3.5mm jack on DualShock 4 Mono speaker on DualShock 4,Bluetooth 2.1 + EDR (PlayStation 4) or Bluetooth 4.0 (LE) (PlayStation 4 Slim) HDMI (1 out port) 2 USB 3.0 ports (at front of console) PS Camera AUX port Optical out port Ethernet port,DualShock 4 controller (up to 4) PlayStation Move PlayStation Camera PlayStation Vita (select games only)[162],DualShock 4 controller includes an integrated 2 point capacitive touchpad,PlayStation Camera,PlayStation Network PlayStation Store PlayStation Now PlayStation Music PlayStation Video PlayMemories Online PlayStation Vue,Downloads games and automatic updates in the background,Paid PlayStation Plus subscription required for online multiplayer and cloud saves except for free-to-play titles[166][167],Screenshots with Twitter integration,"Up to 1 hour of gameplay with Dailymotion, Facebook, Twitter and YouTube integration; 720p for all PS4 models, 1080p for PS4 Pro","Live streaming with Dailymotion, Twitch, Ustream and YouTube Gaming integration",Free,List of PlayStation 4 games,PlayStation 4 system software,Updates are downloaded and installed automatically in Rest Mode,8
PlayStation 4 Pro,Unnamed: 6_level_1,Sony Interactive,,"WW: November 10, 2016[67]",US$399.00 (equivalent to $540 in 2025)[67],€399.99 (equivalent to €490 in 2023)[72],£345.00 (equivalent to £470 in 2023)[67],A$560.00 (equivalent to $650 in 2022)[67],,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,"Japan: January 5, 2021[77]","117.2 million (as of March 31, 2022)[82]",">113.5 million (as of September 30, 2020)[84]","God of War (2018), 19.50 million (as of February 3, 2022)[87]",List of best-selling PlayStation 4 video games,Blu-ray (25/50 GB) (6x CAV)[91],"Blu-ray, DVD",Almost fully[94] Only DLC is region locked[95],Partial[e],Octa-core AMD Jaguar-based[g],x86-64,2.13 GHz,512 kB[h],4 MB[l][107],—N/a,—N/a,16 nm[112][113],—N/a,"AMD Radeon-based ""Neo""[119]",911 MHz[119],2304[119],4.198[119],144[119],131.2 GTexel/s[119],64[119],29.15 GPixel/s[119],36[119],16 nm[119],8 GB GDDR5 SDRAM,1700 MHz (6800 MHz effective),217.6 GB/s,3.5 GB[131],1 GB DDR3 RAM,1 TB HDD or 2 TB (user replaceable),Supports USB HDD over 240 GB up to 8 TB (with System Software 4.50 or higher)[138],All games must be installed to a connected HDD[141],802.11a/b/g/n/ac Wi-Fi 2.4 GHz/5 GHz[143],Gigabit Ethernet,When lying down on its side: Width: 295 mm (11.6 in) Height: 55 mm (2.2 in) Length: 327 mm (12.9 in) (can be oriented vertically using a stand)[143],3.3 kg (7.3 lb)[143],Max. 289 W (internal power supply)[143] (PSU) Max. 310 W (internal power supply)[143] (Product Page),DualShock 4 controller Micro-USB cable (for charging DualShock 4) Wired mono headset HDMI cable,"4K 2160p, 1080p, 1080i, 720p, and 480p HDR10 HDMI out 2.0a",Yes,PlayStation Vita PlayStation App on iOS and Android devices,"Local and remote game streaming via Remote Play to PS Vita, macOS and Windows, or selected Sony Xperia smartphone[153] for all games, except those that require the PS Camera or PS Move[154][155]",7.1 LPCM and bitstreaming output via HDMI 5.1 LPCM and bitstreaming output via optical out Stereo output via 3.5mm jack on DualShock 4 Mono speaker on DualShock 4,Bluetooth 4.0 (LE)[143] HDMI (1 out port) 3 USB 3.1 (gen 1) ports[143] PS Camera AUX port Optical out port Ethernet port,DualShock 4 controller (up to 4) PlayStation Move PlayStation Camera PlayStation Vita (select games only)[162],DualShock 4 controller includes an integrated 2 point capacitive touchpad,PlayStation Camera,PlayStation Network PlayStation Store PlayStation Now PlayStation Music PlayStation Video PlayMemories Online PlayStation Vue,Downloads games and automatic updates in the background,Paid PlayStation Plus subscription required for online multiplayer and cloud saves except for free-to-play titles[166][167],Screenshots with Twitter integration,"Up to 1 hour of gameplay with Dailymotion, Facebook, Twitter and YouTube integration; 720p for all PS4 models, 1080p for PS4 Pro","Live streaming with Dailymotion, Twitch, Ustream and YouTube Gaming integration",Free,List of PlayStation 4 games,PlayStation 4 system software,Updates are downloaded and installed automatically in Rest Mode,8
Xbox One,Unnamed: 7_level_1,Microsoft,,"NA: November 22, 2013EU: November 22, 2013 (select countries only)[68]AU: November 22, 2013JP: September 4, 2014[69]",US$499.99 (equivalent to $690 in 2025),€499 (equivalent to €620 in 2023),£429.00 (equivalent to £620 in 2023),A$599.00 (equivalent to $740 in 2022),,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,"August 25, 2017[78]","58 million (as of June 30, 2023)[83]","58 million (as of June 30, 2023)[83]","PlayerUnknown's Battlegrounds, 8.00 million (as of July 2018)[88]",List of best-selling Xbox One video games,Blu-ray (25/50/66/100 GB),"Blu-ray, DVD, CD",Unrestricted[96][97],Partial[f],Octa-core AMD Jaguar-based[g][105],x86-64,1.75 GHz,512 kB[h],4 MB[l][108],32 MB eSRAM @ 853 MHz (204 GB/s)[n][110],32 MB eSRAM @ 853 MHz (204 GB/s)[n][110],28 nm,—N/a,"AMD Radeon-based ""Durango""",853 MHz,768[122][123],1.310,48,40.9 GTexel/s[125],16,13.6 GPixel/s[125],12,28 nm,8 GB DDR3 SDRAM[108],1066.5 MHz (2133 MHz effective),68.3 GB/s,3 GB[132],—N/a,"500 GB HDD, 1 TB HDD (non-replaceable)[135] 8 GB flash memory (reserved for the OS)[125]",Supports USB 3.0 HDD larger than 256 GB up to 16 TB[139][140],All games must be installed to a connected HDD,802.11a/b/g/n dual-band Wi-Fi @ 2.4 GHz and 5.0 GHz[144],Gigabit Ethernet,When lying down on its side: Width: 309 mm (12.1 in) Height: 83 mm (3.2 in) Length: 258 mm (10.1 in) (must be oriented horizontally)[146],3.2 kg (7.1 lb)[citation needed],Max. 220 W (external power supply),Xbox Wireless Controller Kinect sensor (in some bundles) Wired mono headset HDMI cable,"1080p, 720p, and 480p[149][150] HDMI in/out 1.4b",Yes[152],"Xbox Console Companion on Android, iOS, Windows 8, Windows 8.1, Windows 10, Windows Phone",Local game streaming via Xbox App to Windows 10 PC[156],7.1 LPCM and bitstreaming output via HDMI 2.0 LPCM and bitstreaming output via optical out Internal system speaker[157] Stereo output via extension port on controller (requires adapter for 3.5 mm jacks) and via 3.5 mm jack port (present only on 2nd and 3rd controller revisions),"Wi-Fi Direct 2 HDMI (1 in port and 1 out port)[158] 3 USB 3.0 ports (1 at side of console, 2 at rear) Kinect port Optical out port Ethernet port",Xbox Wireless Controller (up to 8) Xbox Series X controller Kinect Computer mouse (select games only) Computer keyboard (select games only) Amazon Alexa (voice controls only),—N/a,Kinect,Xbox Live Microsoft Store Microsoft Movies & TV,Downloads games and automatic updates in the background[164],"Paid Xbox Live Gold subscription required for online multiplayer, except for free-to-play titles free cloud saves[168]",Screenshots with Twitter integration,"Up to 5 minutes of gameplay; 1080p for all Xbox One models,[172] 4K for Xbox One X (external storage required)[173]",Live streaming with Mixer and Twitch integration,Paid subscription to Xbox Live Gold required[174],List of Xbox One games,Xbox One system software,Updates are downloaded and installed automatically in Instant-on Mode,8
Xbox One S,Unnamed: 8_level_1,Microsoft,,"NA: August 2, 2016 (select countries only)EU: August 2, 2016 (select countries only)AU: August 2, 2016JP: November 24, 2016WW: April 16, 2019 (all digital edition)",US$299.00 (equivalent to $400 in 2025),€299 (equivalent to €370 in 2023)[73],£249 (equivalent to £340 in 2023)[73],,,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,"Q4 2020 (All-Digital version discontinued July 16, 2020)[61]","58 million (as of June 30, 2023)[83]","58 million (as of June 30, 2023)[83]","PlayerUnknown's Battlegrounds, 8.00 million (as of July 2018)[88]",List of best-selling Xbox One video games,Blu-ray (25/50/66/100 GB),"Ultra HD Blu-ray, Blu-ray, DVD, CD[92]",Unrestricted[96][97],Partial[f],Octa-core AMD Jaguar-based[g][105],x86-64,1.75 GHz,512 kB[h],4 MB[l][108],32 MB eSRAM @ 914 MHz (219 GB/s)[n][110],32 MB eSRAM @ 914 MHz (219 GB/s)[n][110],16 nm,—N/a,"AMD Radeon-based ""Durango""",914 MHz,768[122][123],1.404,48,43.8 GTexel/s,16,14.6 GPixel/s,12,16 nm[121],8 GB DDR3 SDRAM[108],1066.5 MHz (2133 MHz effective),68.3 GB/s,3 GB[132],—N/a,"500 GB HDD, 1 TB HDD, 2 TB HDD (non-replaceable) 8 GB flash memory (reserved for the OS)",Supports USB 3.0 HDD larger than 256 GB up to 16 TB[139][140],All games must be installed to a connected HDD,802.11a/b/g/n/ac dual-band Wi-Fi @ 2.4 GHz and 5.0 GHz[145],Gigabit Ethernet,When lying down on its side: Width: 295 mm (11.6 in) Height: 64 mm (2.5 in) Length: 227 mm (8.9 in) (can be oriented vertically using a stand)[92],2.9 kg (6.4 lb)[92],Max. 125 W (internal power supply),Xbox Wireless Controller Wired mono headset HDMI cable,"4K 2160p, 1440p, 1080p, 720p, and 480p[106][149][151] HDR10 Dolby Vision HDMI out 2.0a (Xbox One S) HDMI out 2.0b (Xbox One X) HDMI in 1.4b AMD FreeSync support",Yes[152],"Xbox Console Companion on Android, iOS, Windows 8, Windows 8.1, Windows 10, Windows Phone",Local game streaming via Xbox App to Windows 10 PC[156],7.1 LPCM and bitstreaming output via HDMI 2.0 LPCM and bitstreaming output via optical out Internal system speaker[157] Stereo output via extension port on controller (requires adapter for 3.5 mm jacks) and via 3.5 mm jack port (present only on 2nd and 3rd controller revisions),"IR Blaster Bluetooth 4.0[159] 2 HDMI (1 in port and 1 out port)[92] 3 USB 3.0 ports (1 at front of console, 2 at rear) Optical out port S/PDIF Ethernet port",Xbox Wireless Controller (up to 8) Xbox Series X controller Kinect Computer mouse (select games only) Computer keyboard (select games only) Amazon Alexa (voice controls only),—N/a,Kinect (adapter required to use)[163],Xbox Live Microsoft Store Microsoft Movies & TV,Downloads games and automatic updates in the background[164],"Paid Xbox Live Gold subscription required for online multiplayer, except for free-to-play titles free cloud saves[168]",Screenshots with Twitter integration,"Up to 5 minutes of gameplay; 1080p for all Xbox One models,[172] 4K for Xbox One X (external storage required)[173]",Live streaming with Mixer and Twitch integration,Paid subscription to Xbox Live Gold required[174],List of Xbox One games,Xbox One system software,Updates are downloaded and installed automatically in Instant-on Mode,8
Xbox One X,Unnamed: 9_level_1,Microsoft,,"WW: November 7, 2017[70]",US$499.99 (equivalent to $660 in 2025),€499.99 (equivalent to €610 in 2023)[74],,,,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,"July 16, 2020[79]","58 million (as of June 30, 2023)[83]","58 million (as of June 30, 2023)[83]","PlayerUnknown's Battlegrounds, 8.00 million (as of July 2018)[88]",List of best-selling Xbox One video games,Blu-ray (25/50/66/100 GB),"Ultra HD Blu-ray, Blu-ray, DVD, CD[92]",Unrestricted[96][97],Partial[f],Octa-core AMD Jaguar-based[g][106],x86-64,2.30 GHz,512 kB[h],4 MB[l][108],—N/a[111],—N/a[111],16 nm,—N/a,"AMD Radeon-based ""Scorpio Engine""","1,172 MHz[121]",2560[124][121],6.001[121],160[121],187.5 GTexel/s[121],32[121],37.5 GPixel/s[121],40[121],16 nm[121],12 GB GDDR5 SDRAM,1700 MHz (6800 MHz effective),326.4 GB/s,3 GB[132],—N/a,"1 TB HDD, (non-replaceable) 8 GB flash memory (reserved for the OS)",Supports USB 3.0 HDD larger than 256 GB up to 16 TB[139][140],All games must be installed to a connected HDD,802.11a/b/g/n/ac dual-band Wi-Fi @ 2.4 GHz and 5.0 GHz[145],Gigabit Ethernet,When lying down on its side: Width: 300 mm (11.8 in) Height: 60 mm (2.4 in) Length: 240 mm (9.4 in) (can be oriented vertically using a stand)[106][147],3.8 kg (8.4 lb)[106],Max. 245 W (internal power supply)[106],Xbox Wireless Controller Wired mono headset HDMI cable,"4K 2160p, 1440p, 1080p, 720p, and 480p[106][149][151] HDR10 Dolby Vision HDMI out 2.0a (Xbox One S) HDMI out 2.0b (Xbox One X) HDMI in 1.4b AMD FreeSync support",Yes[152],"Xbox Console Companion on Android, iOS, Windows 8, Windows 8.1, Windows 10, Windows Phone",Local game streaming via Xbox App to Windows 10 PC[156],7.1 LPCM and bitstreaming output via HDMI 2.0 LPCM and bitstreaming output via optical out Internal system speaker[157] Stereo output via extension port on controller (requires adapter for 3.5 mm jacks) and via 3.5 mm jack port (present only on 2nd and 3rd controller revisions),"IR Blaster Bluetooth 4.0[159] 2 HDMI (1 in port and 1 out port)[92] 3 USB 3.0 ports (1 at front of console, 2 at rear) Optical out port S/PDIF Ethernet port",Xbox Wireless Controller (up to 8) Xbox Series X controller Kinect Computer mouse (select games only) Computer keyboard (select games only) Amazon Alexa (voice controls only),—N/a,Kinect (adapter required to use)[163],Xbox Live Microsoft Store Microsoft Movies & TV,Downloads games and automatic updates in the background[164],"Paid Xbox Live Gold subscription required for online multiplayer, except for free-to-play titles free cloud saves[168]",Screenshots with Twitter integration,"Up to 5 minutes of gameplay; 1080p for all Xbox One models,[172] 4K for Xbox One X (external storage required)[173]",Live streaming with Mixer and Twitch integration,Paid subscription to Xbox Live Gold required[174],List of Xbox One games,Xbox One system software,Updates are downloaded and installed automatically in Instant-on Mode,8
