,System,Units sold,Generation
0,PlayStation,"102.49 million shipped (74.34 million PlayStation, 28.15 million PSone) (as of March 31, 2005)[74]",5
1,Nintendo 64,"32.93 million (as of March 31, 2005)[75]",5
2,Sega Saturn,9.26 million[76][77],5
3,3DO,2 million,5
4,32X,"800,000[78]",5
5,Virtual Boy,770000,5
6,PC-FX,400000,5
7,Atari Jaguar,"250,000 (as of May 15, 2007)[79]",5
8,Amiga CD32,100000,5
9,FM Towns Marty,"45,000 (as of December 31, 1993)[80]",5
10,Apple Bandai Pippin,"42,000 (as of May 4, 2007)[81]",5
