,Manufacturer,Console,Released,Units sold,Date of figure,Generation
0,Nintendo,DS,"March 11, 2005",10596000,2016,4
1,Nintendo,Switch #,"March 3, 2017","7,090,000[65]",January 2023,4
2,Nintendo,Wii,"December 8, 2006","6,400,000[66]",2015,4
3,Sony,PlayStation 4 #,"November 29, 2013","6,000,000[65]",January 2023,4
4,Sony,PlayStation 2,2000,"5,900,000[67]",2009,4
5,Sony,PlayStation 3,"March 23, 2007",5235000,2016,4
6,Nintendo,3DS,"March 25, 2011",4765000,2016,4
7,Sony,PSP,"September 1, 2005",3582000,2016,4
8,Microsoft,Xbox 360,"December 2, 2005",3379000,2016,4
9,Nintendo,NES,1986,"2,400,000[17]",1994,4
10,Nintendo,Game Boy,"September 28, 1990","2,000,000[68]",1995,4
11,Sega,Master System,1987,"1,600,000[17]",1993,4
12,Sega,Mega Drive,1990,"1,300,000[17]",1994,4
13,Nintendo,SNES,1992,"1,000,000[17]",1994,4
14,Microsoft,Xbox One,"November 22, 2013",1026000,2016,4
15,Nintendo,Wii U,"November 30, 2012",832000,2016,4
16,Commodore,Amiga,?,"700,000[69]",1994,4
17,Atari,VCS / 2600,1982,"600,000[70]",1989,4
18,Sony,PS Vita,"February 22, 2012",535000,2016,4
19,Sega,Game Gear,April 1991,"300,000[68]",1995,4
20,SNK,Neo Geo,1991,"100,000[68]",1995,4
21,Sega,Mega CD,1993,"65,000[17]",1994,4
22,Atari,XE-GS,1989,"30,000[70]",1989,4
23,Epoch/Yeno,Super Cassette Vision,1985,">17,800[19]",1986,4
