,Manufacturer,Console,Units sold,Date of figure,Generation
0,Nintendo,DS,"61,100,000[7]",March 2016,4
1,Nintendo,Game Boy,"42,160,000[7]",March 2003,4
2,Nintendo,Wii,"40,230,000[7]",March 2016,4
3,Nintendo,3DS #,"23,780,000[8]",March 2020,4
4,Nintendo,Game Boy Advance,"22,910,000[7]",March 2010,4
5,Nintendo,Switch #,"17,870,000[a][6]","December 31, 2025",4
6,Nintendo,Super Famicom/SNES,"8,580,000[7]",March 2001,4
7,Nintendo,Famicom/NES,"8,560,000[7]",March 1995,4
8,Nintendo,Nintendo 64,"6,750,000[7]",March 2002,4
9,Nintendo,GameCube,"4,770,000[7]",March 2008,4
10,Nintendo,Wii U #,"3,740,000[7]",March 2017,4
11,Nintendo,Switch 2 #,"2,500,000[6]","December 31, 2025",4
12,Sega,Mega Drive,"1,000,000[17]",1994,4
