,Manufacturer,Console,Released,Units sold,Date of figure,Ref.,Generation
0,Nintendo,Nintendo DS,"March 11, 2005",12300000,2011,[102],4
1,Sony,PlayStation 2,"November 24, 2000",10000000,January 2010,[103],4
2,Microsoft,Xbox 360,"December 2, 2005",9030000,June 2015,[57],4
3,Nintendo,Wii,"December 8, 2006",8400000,"June 27, 2013",[104],4
4,Sony,PlayStation 4 #,"November 29, 2013",7723000,March 2025,[105],4
5,Nintendo,Switch #,"March 3, 2017",7250000,March 2025,[105],4
6,Sony,PlayStation,September 1995,7190000,December 2005,[106],4
7,Nintendo,Game Boy,September 1990,6630000,December 2005,[106],4
8,Sony,PlayStation 3,"March 23, 2007",5920000,June 2015,[57],4
9,Microsoft,Xbox One #,"November 22, 2013",5000000,"December 11, 2018",[107],4
10,Sony,PlayStation 5 #,"November 19, 2020",4600000,March 2025,[105],4
11,Nintendo,Game Boy Advance,"June 22, 2001",4550000,December 2005,[106],4
12,Sony,PlayStation Portable,"September 1, 2005",3600000,January 2010,[103],4
13,Sega,Mega Drive,"November 30, 1990",3000000,June 1996,[61],4
14,Microsoft,Xbox Series #,"November 10, 2020",2570000,March 2025,[105],4
15,Microsoft,Xbox,"March 14, 2002",2140000,December 2005,[106],4
16,Nintendo,3DS,"March 25, 2011",2100000,2013,[108],4
17,Commodore,Amiga,1986[109],1500000,1993,[110],4
18,Nintendo,Nintendo 64,"March 1, 1997",1500000,April 2022,[111],4
19,Nintendo,Game Boy Color,November 1998,1500000,December 1999,[112],4
20,Sega,Master System,September 1987,1350000,1993,[17],4
21,Nintendo,GameCube,"May 3, 2002",1150000,December 2005,[106],4
22,Nintendo,NES,1987,1150000,October 1993,[62],4
23,Nintendo,SNES,April 1992,1050000,1994,[17],4
24,Nintendo,Switch 2 #,"June 5, 2025",">600,000",December 2025,[113],4
25,Sega,Dreamcast,October 1999,600000,2002,[114],4
26,Sega,Game Gear,April 1991,591000,December 1993,[115],4
27,Sony,PS Vita,"February 22, 2012",500000,2013,[108],4
28,Nintendo,Wii U,"November 30, 2012",560000,2018,[116],4
29,Sega,Saturn,July 1995,214460,December 1999,[117],4
30,Atari,Atari VCS,1978,125000,December 1980,[118],4
31,Sega,Mega CD,"April 2, 1993",104000,December 1993,[115],4
32,Philips,CD-i,1990,100000,1994,[20],4
